time,open,high,low,close
1575217800,7318.62,7335.95,7296.14,7324.78
1575219600,7325.05,7337.96,7290.24,7310.35
1575221400,7310.84,7325.23,7301,7323.22
1575223200,7323.22,7332.59,7301.04,7325.55
1575225000,7325.58,7326.47,7295,7309.08
1575226800,7309.83,7309.83,7280,7284.36
1575228600,7284.34,7362.48,7282.4,7358.39
1575230400,7355.83,7383,7340.16,7378.98
1575232200,7379,7379.26,7349.69,7350.9
1575234000,7350.37,7354.19,7306.18,7340
1575235800,7338.89,7380,7336.02,7366.66
1575237600,7366.75,7414.27,7329.89,7347
1575239400,7347,7398.7,7333.92,7379.99
1575241200,7380,7436.81,7378,7416.81
1575243000,7416.83,7429.27,7387.18,7390.89
1575244800,7391.5,7411,7357.24,7370.67
1575246600,7370.67,7393.94,7347.21,7367.44
1575248400,7369.16,7381.1,7352.67,7365.07
1575250200,7365.02,7415.14,7363.08,7397.17
1575252000,7395.99,7420.56,7384,7387.57
1575253800,7387.21,7413.19,7381.4,7398.56
1575255600,7398.57,7398.79,7360,7369.88
1575257400,7369.9,7374.78,7350.9,7358.84
1575259200,7359.36,7359.36,7319.12,7338.59
1575261000,7338.81,7375.25,7326.53,7372.97
1575262800,7373.07,7374.77,7301,7311.88
1575264600,7309.98,7309.98,7251.9,7281.02
1575266400,7281.01,7282.22,7151.1,7205.53
1575268200,7205.45,7257.86,7205,7254.55
1575270000,7254.55,7271.97,7222.65,7233.47
1575271800,7233.93,7255.97,7222.55,7252.96
1575273600,7252.96,7254.63,7203.56,7221.3
1575275400,7220.94,7248.16,7181.01,7224.16
1575277200,7224.49,7295,7218.38,7270.17
1575279000,7270.39,7338,7269.47,7298.24
1575280800,7297.08,7369,7290.28,7341.5
1575282600,7341.33,7341.98,7261.57,7288.99
1575284400,7290.83,7318.99,7269.69,7289.73
1575286200,7289.73,7301.99,7267.42,7297.91
1575288000,7297.91,7299.05,7236.56,7260.26
1575289800,7260.06,7330,7251.68,7309.54
1575291600,7308.88,7314.99,7283,7309.84
1575293400,7308.11,7327.09,7293,7307.13
1575295200,7307.46,7358,7246.31,7317.22
1575297000,7316.75,7329.78,7270.51,7291.19
1575298800,7289.75,7320,7270.37,7294.27
1575300600,7293.49,7331.58,7293.47,7308.76
1575302400,7309.32,7330.03,7284.53,7295.66
1575304200,7295.34,7299.51,7260,7282.66
1575306000,7283.03,7285.75,7257.22,7268.94
1575307800,7268.63,7300,7266,7285.99
1575309600,7285.99,7287.34,7260.35,7267.96
1575311400,7269.03,7283,7263.29,7271.01
1575313200,7271.01,7284.58,7260.35,7276.89
1575315000,7277.23,7288.18,7270,7273.98
1575316800,7273.29,7318,7273.29,7301.68
1575318600,7301.02,7313.5,7285.07,7293.51
1575320400,7293.5,7314.55,7289,7302.62
1575322200,7302.57,7308.66,7296.14,7303.3
1575324000,7304.92,7326.84,7303.44,7323.21
1575325800,7322.97,7350,7315,7327
1575327600,7326.12,7337.31,7299.35,7310.49
1575329400,7310.06,7322.64,7294.03,7294.28
1575331200,7294.42,7323.07,7292,7321.85
1575333000,7321.81,7400,7321.81,7363.5
1575334800,7363.13,7381.18,7344.26,7358.93
1575336600,7358.73,7359.39,7331,7344.21
1575338400,7344.33,7358.5,7329,7349.32
1575340200,7348.73,7353.67,7315.37,7336.08
1575342000,7335.95,7344.51,7320.77,7330.52
1575343800,7330.35,7350.38,7327.6,7349.18
1575345600,7349.5,7357.75,7306,7308.49
1575347400,7308.47,7320,7273.27,7297.91
1575349200,7297.88,7315.01,7285.03,7285.37
1575351000,7285.43,7299.19,7262.02,7276.57
1575352800,7276.6,7302.15,7272.29,7286.96
1575354600,7286.78,7311,7282.18,7309.96
1575356400,7309.96,7311.02,7285.04,7295.88
1575358200,7296.29,7298.39,7280.81,7293.83
1575360000,7293.15,7305,7289.39,7294.21
1575361800,7293.53,7319.7,7290.17,7312.01
1575363600,7312.01,7323.98,7294.34,7299.32
1575365400,7299.32,7304.74,7258.5,7262.24
1575367200,7262.27,7282.05,7241.35,7270.78
1575369000,7270.83,7290,7263.65,7277.82
1575370800,7277.82,7299,7262.44,7267.67
1575372600,7266.96,7279.83,7252.52,7266.7
1575374400,7263.97,7289.83,7262.81,7272.66
1575376200,7272.28,7299.99,7269.99,7289.06
1575378000,7288.78,7296.96,7276.7,7292.8
1575379800,7293.21,7300.1,7273.3,7289.16
1575381600,7289.18,7314.26,7278.52,7306.25
1575383400,7306.67,7347,7304.47,7334.33
1575385200,7334.42,7343.81,7314.7,7331.88
1575387000,7332.86,7356.13,7326.57,7335.43
1575388800,7335.36,7337.94,7310,7312.84
1575390600,7312.85,7332.03,7301.64,7320.47
1575392400,7319.44,7339.66,7316.15,7331.11
1575394200,7331.11,7337.33,7319.42,7327.4
1575396000,7327.16,7349.15,7326.23,7346.17
1575397800,7347.51,7356.87,7339.99,7341.27
1575399600,7341.3,7352.6,7331.94,7343.13
1575401400,7343.74,7349.94,7307.76,7320.98
1575403200,7320.99,7320.99,7283.02,7296.32
1575405000,7296.65,7311.33,7288.08,7301.76
1575406800,7301.7,7305,7283.43,7294.93
1575408600,7294.93,7331.99,7294.93,7321.93
1575410400,7321.89,7341,7294,7300.46
1575412200,7301.44,7318.22,7300.22,7304.12
1575414000,7304.48,7316.52,7288.93,7305.83
1575415800,7305.83,7307,7284,7292.71
1575417600,7292.71,7294.03,7213.16,7224.64
1575419400,7224.62,7242.68,7110.02,7143
1575421200,7142.93,7185,7102,7167.86
1575423000,7167.86,7176.28,7153.16,7156.69
1575424800,7156.55,7169.8,7125.94,7136.57
1575426600,7136.94,7158.7,7125.97,7148.36
1575428400,7148.59,7168.91,7145.53,7158.8
1575430200,7158.74,7166.6,7143.38,7150.49
1575432000,7150.91,7166.21,7125.04,7153.04
1575433800,7153.06,7159.16,7141,7149.44
1575435600,7149.88,7152.09,7113.58,7138.85
1575437400,7139.03,7154.19,7125.24,7127.8
1575439200,7126.7,7150.79,7111.11,7140.1
1575441000,7140.3,7161.55,7133.79,7137.28
1575442800,7137.02,7149.06,7126.75,7133.77
1575444600,7133.68,7140,7121.82,7130.6
1575446400,7130.64,7149.26,7067,7145.25
1575448200,7146.43,7205.55,7138.23,7180.92
1575450000,7182.35,7197.04,7165.02,7178.57
1575451800,7179.75,7210.09,7176.91,7192.01
1575453600,7192.01,7224,7179,7218.19
1575455400,7218.86,7229.57,7198.8,7222.66
1575457200,7222.78,7233.77,7181.86,7208.69
1575459000,7209.27,7210.98,7185.89,7200.34
1575460800,7200.62,7227.56,7199.45,7214.91
1575462600,7215.76,7220,7197.71,7217.65
1575464400,7217.43,7750,7202.38,7593.99
1575466200,7593.99,7608.48,7470,7497.83
1575468000,7496.46,7535,7487.18,7491.2
1575469800,7490.59,7491.12,7403.18,7466.79
1575471600,7466.79,7495,7430,7435.34
1575473400,7437.67,7493.45,7436.82,7466.66
1575475200,7466.78,7499.63,7450,7472.81
1575477000,7472.78,7477.87,7438,7452.92
1575478800,7453.1,7483.43,7452.76,7469.44
1575480600,7469.51,7478,7455,7468.83
1575482400,7469.41,7470.87,7455.12,7467.09
1575484200,7467.16,7483.43,7456.6,7471.21
1575486000,7471.2,7491.52,7471.19,7475.81
1575487800,7475.86,7482.86,7470,7479.55
1575489600,7479.52,7480.22,7438.2,7466.76
1575491400,7467.71,7471.4,7150,7193.16
1575493200,7199.97,7281,7100,7170.87
1575495000,7170.84,7223.98,7138.96,7181.12
1575496800,7181.91,7221.21,7153.07,7218.65
1575498600,7218.66,7225,7202.94,7217.15
1575500400,7216.12,7258.02,7214.63,7219.92
1575502200,7219.39,7232.61,7172.01,7194.32
1575504000,7194.59,7217.08,7162,7195
1575505800,7194.95,7223.6,7194.83,7219.3
1575507600,7219.04,7243.57,7215,7223.47
1575509400,7225.13,7230,7204.54,7219.62
1575511200,7219.61,7236.35,7212.1,7229.8
1575513000,7230.12,7231,7195.99,7206.36
1575514800,7206.43,7209.88,7178.48,7206.38
1575516600,7206.77,7224.95,7193.34,7223.6
1575518400,7223.58,7225.3,7195.1,7212.44
1575520200,7212.44,7376.72,7150,7204.51
1575522000,7205,7348.99,7195,7305.56
1575523800,7305.33,7360,7272.32,7321.62
1575525600,7320.97,7341,7282.67,7328.92
1575527400,7328.3,7340.24,7295.7,7308.08
1575529200,7308.2,7314.67,7259.9,7283.55
1575531000,7282.68,7325.82,7275.1,7306.73
1575532800,7306.96,7335,7287.96,7316.01
1575534600,7316.03,7340,7301.23,7321.25
1575536400,7321.26,7433,7314.19,7327.37
1575538200,7327.37,7333.51,7305,7308.18
1575540000,7308.18,7354,7308.18,7345
1575541800,7344.81,7383.84,7333.26,7372.06
1575543600,7372.06,7407.51,7345.01,7360.69
1575545400,7360.47,7393.61,7357,7370.45
1575547200,7369.36,7467.68,7369.3,7426.24
